reason	woo_id	wa_code	source_sku	name
not_imported	39012		SG098	Generic Men Sunglasses SG098
not_imported	39013		SG099	Generic Men Sunglasses SG099
not_imported	39014		SG100	Generic Men Sunglasses SG100
not_imported	39015		SG101	Generic Men Sunglasses SG101
not_imported	39016		SG102	Generic Men Sunglasses SG102
not_imported	39017		SG103	Generic Women Sunglasses SG103
not_imported	39018		SG104	Generic Women Sunglasses SG104
not_imported	39019		SG105	Generic Women Sunglasses SG105
not_imported	39020		SG106	Generic Unisex Sunglasses SG106
not_imported	39021		SG107	Generic Unisex Sunglasses SG107
not_imported	39022		SG108	Generic Men Sunglasses SG108
not_imported	39023		SG109	Generic Men Sunglasses SG109
not_imported	39024		SG110	Generic Men Sunglasses SG110
not_imported	39025		SG111	Generic Unisex Sunglasses SG111
not_imported	39191		1791932	Tommy Hilfiger Watch For Men 1791932
not_imported	39195		1791890	Tommy Hilfiger  Watch For Men1791890
not_imported	39216		SG112	Generic Women Sunglasses SG112
not_imported	39217		SG113	Generic Women Sunglasses SG113
not_imported	39218		SG114	Generic Women Sunglasses SG114
not_imported	39219		SG115	Generic Women Sunglasses SG115
not_imported	39220		SG116	Generic Women Sunglasses SG116
not_imported	39221		SG117	Generic Women Sunglasses SG117
not_imported	39222		SG118	Generic Women Sunglasses SG118
not_imported	39223		SG119	Generic Women Sunglasses SG119
not_imported	39228		SG124	Generic Men Sunglasses SG124
not_imported	39229		SG125	Generic Men Sunglasses SG125
not_imported	39231		SG127	Generic Women Sunglasses SG127
not_imported	39232		SG128	Generic Women Sunglasses SG128
not_imported	39233		SG129	Generic Women Sunglasses SG129
not_imported	39234		SG130	Generic Women Sunglasses SG130
not_imported	39235		SG131	Generic Women Sunglasses SG131
not_imported	39236		SG132	Generic Unisex Sunglasses SG132
not_imported	39237		SG133	Generic Unisex Sunglasses SG133
not_imported	39239		SG135	Generic Unisex Sunglasses SG135
not_imported	39240		SG136	Generic Unisex Sunglasses SG136
not_imported	39241		SG137	Generic Unisex Sunglasses SG137
not_imported	39242		SG138	Generic Unisex Sunglasses SG138
not_imported	39472		SG139	Generic Men Sunglasses SG139
not_imported	39473		SG140	Generic Men Sunglasses SG140
not_imported	39474		SG141	Generic Men Sunglasses SG141
not_imported	39475		SG142	Generic Men Sunglasses SG142
not_imported	39476		SG143	Generic Men Sunglasses SG143
not_imported	39477		SG145	Generic Men Sunglasses SG145
not_imported	39478		SG146	Generic Men Sunglasses SG146
not_imported	39479		SG147	Generic Men Sunglasses SG147
not_imported	39480		SG148	Generic Men Sunglasses SG148
not_imported	39481		SG149	Generic Men Sunglasses SG149
not_imported	39482		SG150	Generic Men Sunglasses SG150
not_imported	39483		SG151	Generic Men Sunglasses SG151
not_imported	39484		SG152	Generic Men Sunglasses SG152
not_imported	39485		SG153	Generic Men Sunglasses SG153
not_imported	39487		SG155	Generic Men Sunglasses SG155
not_imported	39488		SG156	Generic Men Sunglasses SG156
