id	wa_code	import_ref	family	brand	selling_price	in_stock	title_en
7065	BF-58657	woo:58657	electronics	generic	500.00	0	Joyroom S-UC027A11 Surpass Series 3A
7066	BF-58660	woo:58660	electronics	generic	500.00	0	Joyroom USB Cable - Surpass Series 30W Fast Charging Braided
7067	BF-58663	woo:58663	electronics	generic	500.00	0	Joyroom S-H151 Adapter Type-C Male to USB - Silver
7068	BF-58669	woo:58669	electronics	generic	500.00	0	Joyroom S-H151 Adapter Type-C Male to USB black
7069	BF-58687	woo:58687	electronics	generic	1500.00	0	JR-FN3 ANC+ENC True Wireless Bluetooth Earphones Black
7070	BF-58690	woo:58690	electronics	generic	1000.00	0	Joyroom JR-T03S Pro ANC-3rd Generation Luda version Normal Quality TWS Bluetooth Headset
7071	BF-58694	woo:58694	electronics	generic	1400.00	0	Joyroom JR-T03S PRO MAX Wireless Bluetooth Earphone
7072	BF-58698	woo:58698	electronics	generic	2200.00	0	Joyroom JR-JH1 Headphones Hybrid ANC Wireless
7073	BF-58703	woo:58703	electronics	generic	520.00	0	JR-EW01 3.5Mm Wired Series Half In-Ear Earphones White
7074	BF-58706	woo:58706	electronics	generic	520.00	0	JR-EW02 Wired Series Half In-Ear Wired Earphones Black
7075	BF-58709	woo:58709	electronics	generic	520.00	0	JOYROOM JR-EW03 3.5mm In-Ear Metal Wired Earphone; Length: 1.2m white
7076	BF-58712	woo:58712	electronics	generic	520.00	0	JR-ZS285 Car Phone Holder -Dashboard- -Black
7077	BF-58715	woo:58715	electronics	generic	520.00	0	JR-ZS284 Car phone holder black
7078	BF-58718	woo:58718	electronics	generic	590.00	0	Joyroom JR-ZS283 Adjastable Car Phone Holder - Black
7080	BF-58724	woo:58724	electronics	generic	590.00	0	JOYROOM JR-OK6 Car Phone Mount (Windshield)
7082	BF-58736	woo:58736	electronics	generic	650.00	0	JR-ZS431 Bike Phone Mount Holder-Black
7083	BF-58738	woo:58738	electronics	generic	650.00	0	Joyroom car phone holder with flexible arm for dashboard or windshield; black (JR-ZS259)
7084	BF-58741	woo:58741	electronics	generic	750.00	0	JR-ZS259 Mechanical Car Holder 360 Degree Rotation Long Arm Cup Version Black
7085	BF-58744	woo:58744	electronics	generic	550.00	0	Joyroom Jr-Zs259 Mechanical Car Holderdashboard- Black
7086	BF-58746	woo:58746	electronics	generic	550.00	0	Joyroom JR-ZS259 Mechanical Air Vent Car Holder - 4.7"-6.9" - Black
7087	BF-58749	woo:58749	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone
7088	BF-58755	woo:58755	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone 17 PRO
7089	BF-58756	woo:58756	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone 17 AIR
7090	BF-58757	woo:58757	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone 17
7091	BF-58758	woo:58758	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone JR-MLG0276
7092	BF-58759	woo:58759	electronics	generic	550.00	0	Joyroom Screen Protector for iPhone JR-MLG0279
7093	BF-58760	woo:58760	electronics	generic	600.00	0	Joyroom Screen Protector for iPhone 17 PRO MAX
7094	BF-58763	woo:58763	electronics	generic	600.00	0	Joyroom Screen Protector for iPhone 17 AIR
7095	BF-58766	woo:58766	electronics	generic	600.00	0	Joyroom Screen Protector for iPhone 17
7096	BF-58767	woo:58767	electronics	generic	600.00	0	Joyroom Screen Protector for iPhone MLG0283
7097	BF-58768	woo:58768	electronics	generic	600.00	0	Joyroom Screen Protector for iPhone MLG0280
7098	BF-58769	woo:58769	electronics	generic	500.00	0	Joyroom Screen Protector for iPhone JR-Z24
7099	BF-58773	woo:58773	electronics	generic	500.00	0	Joyroom Screen Protector for iPhone JR-H04
7100	BF-58774	woo:58774	electronics	generic	500.00	0	Joyroom Screen Protector for iPhone JR-PF906
7101	BF-58775	woo:58775	electronics	generic	540.00	0	Privacy glass screen protector for Apple iPhone JR-Z36
7103	BF-58779	woo:58779	electronics	generic	540.00	0	Privacy glass screen protector for Apple iPhone JR-P04
7104	BF-58780	woo:58780	electronics	generic	700.00	0	Tablet Screen Protector JR-MST0158
7106	BF-58783	woo:58783	electronics	generic	700.00	0	Tablet Screen Protector JR-0160MST
7107	BF-58784	woo:58784	electronics	generic	700.00	0	Tablet Screen Protector JR-MST0159
7108	BF-58785	woo:58785	electronics	generic	700.00	0	Tablet Screen Protector JR-MST0164
7109	BF-58786	woo:58786	electronics	generic	700.00	0	Tablet Screen Protector JR-MST0161
7110	BF-58787	woo:58787	watch	generic	3500.00	0	JR-FC3 Classic Series Smartwatch - Silver and Navy blue
7111	BF-58794	woo:58794	watch	generic	5000.00	0	JR-FS1 Lady Smart Watch (Answer/Make Call)
7112	BF-58805	woo:58805	watch	generic	2700.00	0	JR-FT5 Lady Smart Watch (Answer/Make Call)
7113	BF-58808	woo:58808	watch	generic	2700.00	0	JR-FT5 PLUS Lady Smart Watch (Answer/Make Call)
7114	BF-58818	woo:58818	electronics	generic	950.00	0	JOYROOM JR-ZS432 MagSafe Wallet; Slim Magnetic Card Holder
7116	BF-58822	woo:58822	electronics	generic	650.00	0	JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen - Black
7117	BF-58825	woo:58825	electronics	generic	650.00	0	JOYROOM BP561 3-in-1 Magnetic Passive Capacitive Stylus Pen
7119	BF-58828	woo:58828	electronics	generic	650.00	0	Joyroom jr-bp560 excellent series portable passive stylus pen - white
7120	BF-58830	woo:58830	electronics	generic	650.00	0	Joyroom jr-bp560 excellent series portable passive stylus pen
